SV1a,SV1b,SV1c,upls,tripwire,decision,confidence,tripwire_triggered
0.15,0.5,0.6,0.385,3.85,COUNTER,Low,False
0.15,0.58,0.6,0.413,4.13,COUNTER,Low,False
0.15,0.64,0.6,0.434,4.34,COUNTER,Low,False
0.15,0.7,0.6,0.455,4.55,COUNTER,Low,False
0.15,0.76,0.6,0.476,4.76,COUNTER,Low,False
0.15,0.82,0.6,0.497,4.97,COUNTER,Low,False
0.15,0.86,0.6,0.511,5.11,HOLD,Moderate,False
0.15,0.9,0.6,0.525,5.25,HOLD,Moderate,False
0.15,0.96,0.6,0.546,5.46,HOLD,Moderate,False
0.22,0.5,0.6,0.413,4.13,COUNTER,Low,False
0.22,0.58,0.6,0.441,4.41,COUNTER,Low,False
0.22,0.64,0.6,0.462,4.62,COUNTER,Low,False
0.22,0.7,0.6,0.483,4.83,COUNTER,Low,False
0.22,0.76,0.6,0.504,5.04,HOLD,Moderate,False
0.22,0.82,0.6,0.525,5.25,HOLD,Moderate,False
0.22,0.86,0.6,0.539,5.39,HOLD,Moderate,False
0.22,0.9,0.6,0.553,5.53,HOLD,Moderate,False
0.22,0.96,0.6,0.574,5.74,HOLD,Moderate,False
0.28,0.5,0.6,0.437,4.37,COUNTER,Low,False
0.28,0.58,0.6,0.465,4.65,COUNTER,Low,False
0.28,0.64,0.6,0.486,4.86,COUNTER,Low,False
0.28,0.7,0.6,0.507,5.07,HOLD,Moderate,False
0.28,0.76,0.6,0.528,5.28,HOLD,Moderate,False
0.28,0.82,0.6,0.549,5.49,HOLD,Moderate,False
0.28,0.86,0.6,0.563,5.63,HOLD,Moderate,False
0.28,0.9,0.6,0.577,5.77,HOLD,Moderate,False
0.28,0.96,0.6,0.598,5.98,HOLD,Moderate,False
0.32,0.5,0.6,0.453,4.53,COUNTER,Low,False
0.32,0.58,0.6,0.481,4.81,COUNTER,Low,False
0.32,0.64,0.6,0.502,5.02,HOLD,Moderate,False
0.32,0.7,0.6,0.523,5.23,HOLD,Moderate,False
0.32,0.76,0.6,0.544,5.44,HOLD,Moderate,False
0.32,0.82,0.6,0.565,5.65,HOLD,Moderate,False
